City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
63,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Thaton,MM,67.55,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
69,Taoudenni,ML,64.83,clear sky,22.6783,-3.9836,
70,Puerto Escondido,MX,86.94,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
71,Carlos Barbosa,BR,71.17,broken clouds,-29.2975,-51.5036,San Carlos Hotel
74,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
77,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
83,Kavaratti,IN,80.37,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Isangel,VU,80.71,volcanic ash,-19.55,169.2667,Tanna Lodge
87,Plettenberg Bay,ZA,67.44,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
88,Healdsburg,US,80.1,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
89,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Antofagasta,CL,72.21,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
93,Hermanus,ZA,66.79,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
98,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Port Alfred,ZA,72.36,overcast clouds,-33.5906,26.891,The Halyards Hotel
102,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
104,Butembo,CD,63.05,broken clouds,0.15,29.2833,Hotel Butembo
107,Coquimbo,CL,73.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
109,Castro,BR,70.88,few clouds,-24.7911,-50.0119,CHACARA BAILLY
110,Saldanha,ZA,69.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
111,Lebu,CL,64.85,broken clouds,-37.6167,-73.65,Hostal Las Lilas
112,Matara,LK,73.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
113,Lynn Haven,US,61.97,few clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
114,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
115,Rawson,AR,88.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
116,Ponta Do Sol,PT,64.06,overcast clouds,32.6667,-17.1,Hotel do Campo
118,Namibe,AO,75.36,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
120,Petatlan,MX,88.61,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
124,Cockburn Town,TC,77.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
126,Rocha,UY,66.2,clear sky,-34.4833,-54.3333,Hotel Arrarte
131,Rio Verde De Mato Grosso,BR,86.86,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
133,Port Macquarie,AU,64.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
134,Tsabong,BW,82.83,broken clouds,-26.0217,22.401,Springbok Motel
135,Saint George,US,70.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
137,Kitgum,UG,78.71,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
