City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Bristol,US,2022-02-13 20:49:54,41.8334,-71.1662,31.59,90,100,4.0,snow
83,Kavaratti,IN,2022-02-13 20:53:48,10.5669,72.642,80.37,71,51,3.96,broken clouds
84,Grindavik,IS,2022-02-13 20:53:48,63.8424,-22.4338,28.87,86,75,8.05,light snow
85,Bengkulu,ID,2022-02-13 20:53:48,-3.8004,102.2655,75.96,89,99,3.49,overcast clouds
86,Isangel,VU,2022-02-13 20:53:49,-19.55,169.2667,80.71,94,40,2.3,volcanic ash
87,Plettenberg Bay,ZA,2022-02-13 20:53:49,-34.0527,23.3716,67.44,82,27,2.91,scattered clouds
88,Healdsburg,US,2022-02-13 20:50:55,38.6105,-122.8692,80.1,44,0,3.44,clear sky
89,Butaritari,KI,2022-02-13 20:53:50,3.0707,172.7902,81.81,76,46,13.06,light rain
90,Mahebourg,MU,2022-02-13 20:53:51,-20.4081,57.7,81.25,89,40,8.05,scattered clouds
91,Udachnyy,RU,2022-02-13 20:53:51,66.4167,112.4,-22.02,94,69,1.59,broken clouds
92,Antofagasta,CL,2022-02-13 20:53:51,-23.65,-70.4,72.21,65,81,10.18,broken clouds
93,Hermanus,ZA,2022-02-13 20:53:52,-34.4187,19.2345,66.79,83,47,17.2,light rain
94,Barcelos,PT,2022-02-13 20:53:52,41.5388,-8.6151,51.94,86,25,7.07,scattered clouds
95,Jalu,LY,2022-02-13 20:53:52,29.0331,21.5482,56.23,50,87,7.74,overcast clouds
96,Bethel,US,2022-02-13 20:51:19,41.3712,-73.414,31.05,67,100,9.22,overcast clouds
97,Haines Junction,CA,2022-02-13 20:53:53,60.7522,-137.5108,19.35,73,100,0.0,overcast clouds
98,Mar Del Plata,AR,2022-02-13 20:51:37,-38.0023,-57.5575,71.62,61,0,11.5,clear sky
99,Cloquet,US,2022-02-13 20:53:54,46.7216,-92.4594,10.38,43,100,1.99,overcast clouds
100,Port Alfred,ZA,2022-02-13 20:53:54,-33.5906,26.891,72.36,85,89,9.91,overcast clouds
101,Coahuayana,MX,2022-02-13 20:53:55,18.7333,-103.6833,96.28,34,93,7.47,overcast clouds
102,Atuona,PF,2022-02-13 20:53:55,-9.8,-139.0333,77.81,78,24,14.07,few clouds
103,Chokurdakh,RU,2022-02-13 20:51:39,70.6333,147.9167,-5.42,94,100,10.13,overcast clouds
104,Butembo,CD,2022-02-13 20:53:56,0.15,29.2833,63.05,61,72,3.29,broken clouds
105,Atasu,KZ,2022-02-13 20:53:56,48.6814,71.6433,25.59,96,100,12.15,light snow
106,Hasaki,JP,2022-02-13 20:53:56,35.7333,140.8333,36.0,89,100,32.35,light rain
107,Coquimbo,CL,2022-02-13 20:53:57,-29.9533,-71.3436,73.13,53,0,12.66,clear sky
108,Sheridan,US,2022-02-13 20:51:28,44.8333,-106.9173,52.18,29,0,14.97,clear sky
109,Castro,BR,2022-02-13 20:53:57,-24.7911,-50.0119,70.88,81,14,11.12,few clouds
110,Saldanha,ZA,2022-02-13 20:53:58,-33.0117,17.9442,69.85,92,0,21.39,clear sky
111,Lebu,CL,2022-02-13 20:53:58,-37.6167,-73.65,64.85,74,78,9.48,broken clouds
112,Matara,LK,2022-02-13 20:53:59,5.9485,80.5353,73.96,87,99,9.55,overcast clouds
113,Lynn Haven,US,2022-02-13 20:53:59,30.2455,-85.6483,61.97,37,16,8.99,few clouds
114,Alofi,NU,2022-02-13 20:53:59,-19.0595,-169.9187,82.29,74,40,10.36,scattered clouds
115,Rawson,AR,2022-02-13 20:54:00,-43.3002,-65.1023,88.18,22,0,20.51,clear sky
116,Ponta Do Sol,PT,2022-02-13 20:54:00,32.6667,-17.1,64.06,70,97,3.29,overcast clouds
117,Boddam,GB,2022-02-13 20:54:01,57.4667,-1.7833,42.39,90,100,12.48,light rain
118,Namibe,AO,2022-02-13 20:54:01,-15.1961,12.1522,75.36,80,100,0.83,overcast clouds
119,Ustye,RU,2022-02-13 20:54:01,59.6304,39.736,29.1,96,100,10.31,snow
120,Petatlan,MX,2022-02-13 20:54:02,17.5167,-101.2667,88.61,39,100,6.78,overcast clouds
121,Hay River,CA,2022-02-13 20:54:02,60.8156,-115.7999,-11.22,70,75,2.3,broken clouds
122,Marsa Matruh,EG,2022-02-13 20:54:03,31.3525,27.2453,57.4,67,20,8.05,few clouds
123,Ribeira Grande,PT,2022-02-13 20:54:03,38.5167,-28.7,57.6,67,40,5.75,scattered clouds
124,Cockburn Town,TC,2022-02-13 20:52:04,21.4612,-71.1419,77.86,78,0,14.23,clear sky
125,Polson,US,2022-02-13 20:54:04,47.6936,-114.1632,44.49,66,69,1.32,broken clouds
126,Rocha,UY,2022-02-13 20:54:04,-34.4833,-54.3333,66.2,57,3,12.88,clear sky
127,Olafsvik,IS,2022-02-13 20:54:05,64.8945,-23.7142,30.92,88,100,8.3,snow
128,Clyde River,CA,2022-02-13 20:54:05,70.4692,-68.5914,-23.57,69,75,16.11,broken clouds
129,Valle De Allende,MX,2022-02-13 20:54:05,26.9333,-105.4,58.87,16,100,6.78,overcast clouds
130,Lagoa,PT,2022-02-13 20:54:06,39.05,-27.9833,56.62,61,81,7.2,broken clouds
131,Rio Verde De Mato Grosso,BR,2022-02-13 20:54:06,-18.9181,-54.8442,86.86,60,78,3.06,broken clouds
132,Nikolskoye,RU,2022-02-13 20:54:07,59.7035,30.7861,33.87,89,100,13.02,overcast clouds
133,Port Macquarie,AU,2022-02-13 20:54:07,-31.4333,152.9167,64.89,78,81,0.72,broken clouds
134,Tsabong,BW,2022-02-13 20:54:07,-26.0217,22.401,82.83,25,61,8.61,broken clouds
135,Saint George,US,2022-02-13 20:52:29,37.1041,-113.5841,70.54,16,0,3.0,clear sky
136,Te Anau,NZ,2022-02-13 20:50:07,-45.4167,167.7167,51.93,77,35,1.34,scattered clouds
137,Kitgum,UG,2022-02-13 20:54:08,3.2783,32.8867,78.71,33,100,3.38,overcast clouds
138,Lhokseumawe,ID,2022-02-13 20:54:09,5.1801,97.1507,77.04,81,16,2.93,few clouds
139,Manokwari,ID,2022-02-13 20:54:09,-0.8667,134.0833,77.54,77,100,4.52,overcast clouds
140,Shimoda,JP,2022-02-13 20:54:09,34.6667,138.95,36.1,90,100,20.89,moderate rain
141,Puerto Del Rosario,ES,2022-02-13 20:54:10,28.5004,-13.8627,65.95,82,20,11.5,few clouds
142,Dikson,RU,2022-02-13 20:54:10,73.5069,80.5464,-4.38,87,100,24.92,overcast clouds
143,Kanniyakumari,IN,2022-02-13 20:54:11,8.0833,77.5667,77.38,76,81,15.59,broken clouds
144,San Cristobal,VE,2022-02-13 20:54:11,7.7669,-72.225,80.78,37,96,3.2,overcast clouds
145,Victoria,HK,2022-02-13 20:52:30,22.2855,114.1577,61.25,87,100,8.99,overcast clouds
146,Aklavik,CA,2022-02-13 20:54:12,68.2191,-135.0107,-21.17,75,75,5.75,broken clouds
147,Ayr,GB,2022-02-13 20:54:12,55.4627,-4.6339,44.55,100,75,9.22,broken clouds
148,Nelson Bay,AU,2022-02-13 20:54:12,-32.7167,152.15,69.01,71,100,10.56,overcast clouds
149,Okahandja,NA,2022-02-13 20:54:13,-21.9833,16.9167,66.83,77,100,4.54,moderate rain
150,Assiniboia,CA,2022-02-13 20:54:13,49.6334,-105.9845,37.22,60,19,24.16,few clouds
151,Cairns,AU,2022-02-13 20:54:14,-16.9167,145.7667,76.06,90,64,9.22,light rain
152,Sakakah,SA,2022-02-13 20:54:14,29.9697,40.2064,51.37,28,0,4.85,clear sky
153,Chuy,UY,2022-02-13 20:51:40,-33.6971,-53.4616,70.29,43,1,13.4,clear sky
154,Andra,RU,2022-02-13 20:54:15,62.5147,65.8878,-9.96,99,99,1.97,overcast clouds
155,Muisne,EC,2022-02-13 20:54:15,0.6,-80.0333,82.51,82,100,6.38,light rain
156,Iwanai,JP,2022-02-13 20:54:16,42.9744,140.5089,26.65,91,95,5.99,overcast clouds
157,Maumere,ID,2022-02-13 20:54:16,-8.6199,122.2111,78.67,80,96,1.57,overcast clouds
158,Camacha,PT,2022-02-13 20:54:17,33.0833,-16.3333,57.96,67,20,11.5,few clouds
159,Springdale,US,2022-02-13 20:54:17,36.1867,-94.1288,48.25,36,0,12.66,clear sky
160,Gamba,GA,2022-02-13 20:54:18,-2.65,10.0,77.49,87,97,3.6,light rain
161,Vila Franca Do Campo,PT,2022-02-13 20:54:18,37.7167,-25.4333,60.19,74,6,5.73,clear sky
162,Khatanga,RU,2022-02-13 20:54:18,71.9667,102.5,-24.9,94,67,3.58,broken clouds
163,Sarahan,IN,2022-02-13 20:54:19,31.5167,77.8,30.36,48,14,10.78,few clouds
164,Kysyl-Syr,RU,2022-02-13 20:54:19,63.8986,122.7617,-27.85,100,99,0.96,overcast clouds
165,Saint-Pierre,RE,2022-02-13 20:54:20,-21.3393,55.4781,80.28,78,0,14.97,clear sky
166,Capreol,CA,2022-02-13 20:54:20,46.706,-80.9225,2.91,52,20,10.36,few clouds
167,Narsaq,GL,2022-02-13 20:48:12,60.9167,-46.05,26.82,89,100,7.07,overcast clouds
